shared_id,original_statement,it_cleft_statement,r_w1_restoration_layer23
nl_28,"A middle school should be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age.","It is a middle school that should be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age.",-11.125
nl_29,The Netherlands should accept more refugees than it currently does.,It is more refugees than it currently does that the Netherlands should accept.,-1.609375
es_1,Limiting rights and freedoms is necessary to combat organized crime.,It is organized crime that limiting rights and freedoms is necessary to combat.,-15.625
es_2,The growth of Islam is a threat to Spain's security.,It is Spain's security that the growth of Islam is a threat to.,0.2109375
es_3,Current gender policies are biased against men.,It is men that current gender policies are biased against.,0.00390625
es_4,The efficiency of public services improves when they are privatized.,It is the efficiency of public services that improves when they are privatized.,-8384.0
es_5,It should be easier for companies to fire workers.,It is workers that it should be easier for companies to fire.,0.33984375
es_6,The state should take measures to redistribute wealth from the rich to the poor.,It is measures that the state should take to redistribute wealth from the rich to the poor.,-187.0
es_7,"The government must increase spending on public health care, even if this means increasing taxes.","It is spending on public health care that the government must increase, even if this means increasing taxes.",-0.8984375
es_8,A permanent tax on large fortunes and assets is necessary.,It is a permanent tax on large fortunes and assets that is necessary.,-23.375
es_9,The working day should be reduced without reducing workers' wages.,It is the working day that should be reduced without reducing workers' wages.,-36.25
es_10,Governments should intervene as little as possible in the economy.,It is the economy that governments should intervene as little as possible in.,-4.8125
es_11,Taxes on fossil fuels must be raised to finance the Green Transition.,It is the Green Transition that taxes on fossil fuels must be raised to finance.,-4.78125
es_12,Climate change is solely attributable to human action.,It is human action that climate change is solely attributable to.,0.81640625
es_14,To better defend Spain's interests in Europe we must recover more sovereignty.,It is more sovereignty that we must recover to better defend Spain's interests in Europe.,-0.2890625
es_15,Spanish government should promote the strengthening of NATO in Europe.,It is the strengthening of NATO in Europe that the Spanish government should promote.,-23.75
es_16,The best way to solve the conflict in Catalonia is for its citizens to be able to vote on their future in a referendum.,It is for its citizens to be able to vote on their future in a referendum that the best way to solve the conflict in Catalonia is.,-0.046875
es_17,Negotiating with pro-independence supporters weakens the State.,It is the State that negotiating with pro-independence supporters weakens.,-3568.0
es_18,Spain's territorial decentralization must be deepened.,It is Spain's territorial decentralization that must be deepened.,-50.0
es_19,The right to self-determination must be recognized by the Constitution.,It is the right to self-determination that must be recognized by the Constitution.,-4192.0
es_20,The policies of linguistic immersion in the native language of bilingual Autonomous Communities endanger Spanish.,It is Spanish that the policies of linguistic immersion in the native language of bilingual Autonomous Communities endanger.,-456.0
es_21,It is necessary to repeal the Law of Democratic Memory passed during this legislature.,It is the Law of Democratic Memory passed during this legislature that it is necessary to repeal.,-234.0
es_23,Immigrants should pay for their own health services.,It is immigrants' own health services that immigrants should pay for.,-102.5
es_24,Housing prices must be regulated to ensure access for all people.,It is access for all people that housing prices must be regulated to ensure.,-5.125
de_2,Germany is to increase its defense spending.,It is German defense spending that Germany is to increase.,-8.875
de_3,Young people over the age of 16 are to be allowed to vote in Bundestag elections.,It is Bundestag elections that young people over the age of 16 are to be allowed to vote in.,-1.21875
de_4,Subsidies for wind energy are to be ended.,It is subsidies for wind energy that are to be ended.,-3.8125
de_5,The ability of landlords to increase housing rents is to be more strictly limited by law.,It is the ability of landlords to increase housing rents that is to be more strictly limited by law.,-60.5
de_6,Covid-19 vaccines are to continue to be protected by patents.,It is Covid-19 vaccines that are to continue to be protected by patents.,-27.375
de_7,The phase-out of coal-fired power generation planned for 2038 is to be brought forward.,It is the phase-out of coal-fired power generation planned for 2038 that is to be brought forward.,-161.0
de_8,All employed persons are to be required to be insured in the statutory pension scheme.,It is the statutory pension scheme that all employed persons are to be required to be insured in.,0.5703125
de_9,The right of recognized refugees to join their families is to be abolished.,It is the right of recognized refugees to join their families that is to be abolished.,0.98046875
de_11,"The traditional family of father, mother and children is to be promoted more strongly than other living arrangements.","It is the traditional family of father, mother and children that is to be promoted more strongly than other living arrangements.",-31872.0
de_13,Students should receive BAföG regardless of their parents' income.,It is BAföG that students should receive regardless of their parents' income.,-97.0
de_14,"In Germany, it should generally be possible to have a second citizenship in addition to the German one.",It is a second citizenship in addition to the German one that it should generally be possible to have in Germany.,-4352.0
de_16,"The Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, is to be allowed to go into operation as planned.","It is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany that is to be allowed to go into operation as planned.",-2160.0
de_18,Female civil servants are to be allowed to wear headscarves while on duty.,It is headscarves that female civil servants are to be allowed to wear while on duty.,-17.875
de_21,The federal government is to provide more financial support for projects to combat anti-Semitism.,It is more financial support for projects to combat anti-Semitism that the federal government is to provide.,-116.0
de_23,The state should continue to collect church tax for religious communities.,It is church tax that the state should continue to collect for religious communities.,-896.0
de_24,The controlled sale of cannabis is to be generally permitted.,It is the controlled sale of cannabis that is to be generally permitted.,-56.0
de_25,Germany is to leave the European Union.,It is the European Union that Germany is to leave.,-11.0
de_26,The state lists of the parties for the elections to the German Bundestag are to have to be filled alternately by women and men.,It is the state lists of the parties for the elections to the German Bundestag that are to have to be filled alternately by women and men.,-98.5
de_27,Inpatient treatment in hospitals is to continue to be charged on the basis of a flat rate per case.,It is inpatient treatment in hospitals that is to continue to be charged on the basis of a flat rate per case.,-2528.0
de_31,Organic agriculture should be promoted more strongly than conventional agriculture.,It is organic agriculture that should be promoted more strongly than conventional agriculture.,0.40234375
de_32,Islamic associations are to be able to be recognized by the state as religious communities.,It is Islamic associations that are to be able to be recognized by the state as religious communities.,-1.359375
de_34,The debt brake in the Basic Law is to be retained.,It is the debt brake in the Basic Law that is to be retained.,-0.1015625
de_35,Asylum is to continue to be granted only to politically persecuted persons.,It is politically persecuted persons that asylum is to continue to be granted only to.,-244.0
de_36,The statutory minimum wage is to be increased to at least 12 euros by 2022 at the latest.,It is the statutory minimum wage that is to be increased to at least 12 euros by 2022 at the latest.,-14.25
pl_1,The European Union should have less influence on Polish domestic policy.,It is Polish domestic policy that the European Union should have less influence on.,-0.3125
pl_2,Social transfers should be increased to reduce the effects of inflation on citizens.,It is the effects of inflation on citizens that social transfers should be increased to reduce.,-100.0
pl_3,The state should finance private visits to specialists if the waiting time at a public facility exceeds three months.,It is private visits to specialists that the state should finance if the waiting time at a public facility exceeds three months.,-800.0
pl_4,The state should provide a free nursery place for every child.,It is a free nursery place that the state should provide for every child.,-82.5
pl_5,Schools should have more freedom to choose the content covered in the curriculum.,It is the content covered in the curriculum that schools should have more freedom to choose.,-100.0
pl_6,The state should build low-rent apartments for rent.,It is low-rent apartments that the state should build for rent.,-1.3125
pl_7,Taxes should be increased for top earners.,It is top earners that taxes should be increased for.,-109.0
pl_8,"Early retirement should be introduced for those who have worked a certain number of years, regardless of their age.","It is early retirement that should be introduced for those who have worked a certain number of years, regardless of their age.",-2.484375
pl_9,Abortion laws should be liberalized.,It is abortion laws that should be liberalized.,-119808.0
pl_11,The result of any nationwide referendum should be binding regardless of turnout.,It is regardless of turnout that the result of any nationwide referendum should be binding.,-46.5
pl_12,Poland should adopt the migrant relocation solutions adopted by the European Union.,It is the migrant relocation solutions adopted by the European Union that Poland should adopt.,0.0
pl_13,The independence of the judiciary from parliament and the government should be strengthened.,It is the independence of the judiciary from parliament and the government that should be strengthened.,-84.5
pl_15,The powers of local governments should be increased at the expense of the central government.,It is the powers of local governments that should be increased at the expense of the central government.,-34.25
pl_16,Poland should move away from coal mining no later than 2040.,It is coal mining that Poland should move away from no later than 2040.,0.37890625
pl_17,Poland should have grain imports from Ukraine blocked.,It is grain imports from Ukraine that Poland should have blocked.,-29.625
pl_18,Christian values should be the basis of state social policy.,It is state social policy that Christian values should be the basis of.,-0.8125
pl_19,Public media funding from the state budget should be limited.,It is public media funding from the state budget that should be limited.,-0.171875
pl_20,The powers of the secret services to track the activities of citizens on the Internet should be limited.,It is the powers of the secret services to track the activities of citizens on the Internet that should be limited.,-2560.0
hu_1,The EU's rule of law mechanism threatens Hungary's sovereignty.,It is Hungary's sovereignty that the EU's rule of law mechanism threatens.,0.7578125
hu_2,Hungarian foreign policy should be guided solely by Hungarian economic interests.,It is Hungarian economic interests that Hungarian foreign policy should be guided solely by.,0.0
hu_5,Stronger state regulation of the work of NGOs supported by foreign organisations is needed.,It is stronger state regulation of the work of NGOs supported by foreign organisations that is needed.,-0.21875
hu_7,Stricter regulation of interception software (e.g. Pegasus) is needed (e.g. subject to judicial authorisation).,It is stricter regulation of interception software (e.g. Pegasus) that is needed (e.g. subject to judicial authorisation).,-0.4140625
hu_8,Disclosure of the origin of criminals is needed for more effective law enforcement.,It is more effective law enforcement that disclosure of the origin of criminals is needed for.,-31.75
hu_10,Education spending should be increased to at least the OECD average of 5.2 per cent (GDP).,It is at least the OECD average of 5.2 per cent (GDP) that education spending should be increased to.,0.42578125
hu_11,Teachers' salaries should be doubled.,It is teachers' salaries that should be doubled.,0.97265625
hu_12,Political influence has been reduced by changing the university model (reorganisation into a trust).,It is political influence that has been reduced by changing the university model (reorganisation into a trust).,-2656.0
hu_13,Only men and women should be allowed to marry.,It is only men and women that should be allowed to marry.,0.875
hu_15,The state should take targeted measures to promote equal participation of fathers and mothers in child-rearing.,It is targeted measures that the state should take to promote equal participation of fathers and mothers in child-rearing.,0.89453125
hu_16,"The Hungarian government should ratify the Istanbul Convention, which combats violence against women and domestic violence.",It is the Istanbul Convention which combats violence against women and domestic violence that the Hungarian government should ratify.,0.27734375
hu_17,One effective way to reduce rents is to conclude favourable gas supply contracts with Russia.,It is favourable gas supply contracts with Russia that one effective way to reduce rents is to conclude.,0.0
hu_18,Comprehensive public procurement reform is needed (e.g. opening up large-scale centralised public procurement to smaller firms).,It is comprehensive public procurement reform that is needed (e.g. opening up large-scale centralised public procurement to smaller firms).,-13120.0
hu_20,Public employment helps people re-enter the labour market.,It is the labour market that public employment helps people re-enter.,-1.265625
hu_22,State regulation of the rental housing market is not necessary.,It is state regulation of the rental housing market that is not necessary.,-10.875
hu_23,The current three-month unemployment benefit should be extended.,It is the current three-month unemployment benefit that should be extended.,-4768.0
hu_24,A family tax credit is a better way to support families than increasing the family allowance.,It is a family tax credit that is a better way to support families than increasing the family allowance.,-6400.0
hu_28,The use of medical cannabis should be legalised in Hungary.,It is in Hungary that the use of medical cannabis should be legalised.,0.1875
hu_29,An independent Ministry of Health should be established.,It is an independent Ministry of Health that should be established.,-304.0
hu_30,The President of the Hungarian Republic should be directly elected.,It is the President of the Hungarian Republic that should be directly elected.,-29.5
hu_31,"Comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting) is needed.","It is comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting) that is needed.",-23.0
hu_32,A legal framework for primary elections should be provided.,It is a legal framework for primary elections that should be provided.,-2.0
hu_33,Voting age for elections should be 16.,It is voting age for elections that should be 16.,-15.0
hu_34,Internet access should be free for all.,It is internet access that should be free for all.,-412.0
hu_36,Polluting companies should be taxed more heavily.,It is polluting companies that should be taxed more heavily.,-17.5
hu_37,"In larger cities, car traffic should be limited through various measures (P+R parking, construction of cycle paths, improvement of public transport).","It is car traffic that should be limited through various measures (P+R parking, construction of cycle paths, improvement of public transport) in larger cities.",-0.0546875
hu_38,The redevelopment of urban green spaces (e.g. the Liget project in Budapest) needs a broad social dialogue.,It is a broad social dialogue that the redevelopment of urban green spaces (e.g. the Liget project in Budapest) needs.,0.03515625
hu_39,An independent ministry for the environment is needed.,It is an independent ministry for the environment that is needed.,-0.3515625
hu_40,An animal rights commissioner should be introduced.,It is an animal rights commissioner that should be introduced.,-3.6875
it_1,European integration is all in all a positive process.,It is European integration that is all in all a positive process.,0.48828125
it_3,The European Union should have a common foreign policy.,It is a common foreign policy that the European Union should have.,-8.9375
it_4,There should be a common European army.,It is a common European army that there should be.,-1744.0
it_7,"Migrant landings must be stopped, even by extreme means.","It is Migrant landings that must be stopped, even by extreme means.",0.54296875
it_8,"Children, born in Italy to foreign citizens and who have completed schooling should be granted Italian citizenship (ius scholae).","It is Italian citizenship (ius scholae) that children, born in Italy to foreign citizens and who have completed schooling, should be granted.",0.26171875
it_9,"More civil rights should be granted to homosexual, bisexual, transgender (LGBT+) people.","It is homosexual, bisexual, transgender (LGBT+) people that more civil rights should be granted to.",-98.5
it_10,Citizens should be guaranteed freedom of choice in end-of-life matters (euthanasia).,It is freedom of choice in end-of-life matters (euthanasia) that citizens should be guaranteed.,-348.0
it_11,Recreational use of marijuana/cannabis should be allowed.,It is recreational use of marijuana/cannabis that should be allowed.,-31.25
it_12,A law is needed to prevent companies from relocating their production abroad.,It is companies that a law is needed to prevent their production from being relocated abroad.,-13.4375
it_13,A heritage tax one's wealth should be introduced.,It is a heritage tax one's wealth that should be introduced.,-8.0625
it_14,Businesses should be able to fire employees more easily.,It is employees that businesses should be able to fire more easily.,0.97265625
it_15,Health care should be managed only by the state and not by private individuals.,It is health care that should be managed only by the state and not by private individuals.,-92.0
it_16,"The introduction of a single income tax rate (""flat tax"") would benefit the Italian economy.","It is the Italian economy that the introduction of a single income tax rate (""flat tax"") would benefit.",-0.7734375
it_17,An hourly minimum wage should be introduced.,It is an hourly minimum wage that should be introduced.,0.703125
it_18,The citizenship allowance is a measure that should be cancelled.,It is the citizenship allowance that is a measure that should be cancelled.,-0.109375
it_19,Beach concessions to private individuals should be time-limited.,It is beach concessions to private individuals that should be time-limited.,-4.375
it_20,The use of nuclear power plants for the purpose of producing energy should be promoted.,It is the use of nuclear power plants for the purpose of producing energy that should be promoted.,-0.1015625
it_21,The construction of Major Works is a priority for Italy.,It is the construction of Major Works that is a priority for Italy.,0.6953125
it_22,Italy should build more incinerators/thermal power plants.,It is more incinerators/thermal power plants that Italy should build.,0.1015625
it_24,Regasifiers are necessary infrastructure for Italy.,It is regasifiers that are necessary infrastructure for Italy.,-0.2734375
it_25,Italy should keep its foreign policy aligned with the choices of the Atlantic Alliance (NATO).,It is its foreign policy that Italy should keep aligned with the choices of the Atlantic Alliance (NATO).,-9.3125
it_26,Sanctions against Russia should be tougher.,It is sanctions against Russia that should be tougher.,-132.0
it_27,Italy should stop sending arms and war material to the Ukrainian government.,It is arms and war material that Italy should stop sending to the Ukrainian government.,-0.0078125
it_28,Taxes collected at the regional level should be fully retained in the region itself.,It is in the region itself that taxes collected at the regional level should be fully retained.,-168.0
it_29,Separation of careers between judges and prosecutors should be introduced.,It is separation of careers between judges and prosecutors that should be introduced.,-22.25
it_30,Direct election of the President of the Republic should be introduced.,It is direct election of the President of the Republic that should be introduced.,-264.0
ch_18,There should be an increase in the retirement age.,It is the retirement age that there should be an increase in.,0.375
ch_19,The federal government should allocate more funding for health insurance premium subsidies.,It is more funding that the federal government should allocate for health insurance premium subsidies.,-64.5
ch_20,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). This limit should be eliminated.",It is to 150% of the maximum individual AHV pension (capping) that the pension is currently limited for married couples. It is this limit that should be eliminated.,-16.75
ch_21,"As part of the reform of the BVG (occupational pension plan), pensions are to be reduced (lowering the minimum conversion rate from 6.8% to 6%).",It is pensions that are to be reduced (lowering the minimum conversion rate from 6.8% to 6%) as part of the reform of the BVG (occupational pension plan).,-0.3828125
ch_22,Paid parental leave should be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave.,It is today's 14 weeks of maternity leave and two weeks of paternity leave that paid parental leave should be increased beyond.,0.625
ch_23,The federal government should provide more financial support for public housing construction.,It is more financial support that the federal government should provide for public housing construction.,-12.0625
ch_24,Compulsory vaccination of children should be introduced based on the Swiss vaccination plan.,It is compulsory vaccination of children that should be introduced based on the Swiss vaccination plan.,0.9921875
ch_25,There should be an introduction of a tax on foods containing sugar (sugar tax).,It is foods containing sugar that there should be an introduction of a tax on (sugar tax).,-23.375
ch_26,"Insured persons should contribute more to health care costs (e.g., increase the minimum deductible).","It is health care costs that insured persons should contribute more to (e.g., increase the minimum deductible).",-2.984375
ch_27,The Federal Council's ability to restrict private and economic life in the event of a pandemic should be more limited.,It is the Federal Council's ability to restrict private and economic life in the event of a pandemic that should be more limited.,-2.078125
ch_29,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should be taught in regular classes.",It is children with learning difficulties or disabilities that should be taught in regular classes according to the Swiss integrated schooling concept.,-2576.0
ch_30,The federal government should raise the requirements for the high school.,It is the requirements for the high school that the federal government should raise.,-12.625
ch_31,"The state should be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families).","It is equal educational opportunities that the state should be more committed to (e.g., through subsidized remedial courses for students from low-income families).",-436.0
ch_32,"The conditions for naturalization should be relaxed (e.g., shorter residence period).","It is the conditions for naturalization that should be relaxed (e.g., shorter residence period).",-344.0
ch_33,More qualified workers from non-EU/EFTA countries should be allowed to work in Switzerland (increase third-country quota).,It is more qualified workers from non-EU/EFTA countries that should be allowed to work in Switzerland (increase third-country quota).,-4704.0
ch_35,Foreign nationals who have lived in Switzerland for at least ten years should be granted the right to vote and stand for election at the municipal level.,It is the right to vote and stand for election at the municipal level that foreign nationals who have lived in Switzerland for at least ten years should be granted.,-68.5
ch_36,Cannabis use should be legalized.,It is cannabis use that should be legalized.,-27.875
ch_37,Doctors should be allowed to administer direct active euthanasia.,It is direct active euthanasia that doctors should be allowed to administer.,-0.09375
ch_38,"A third official gender should be introduced alongside ""female"" and ""male"".",It is a third official gender that should be introduced alongside 'female' and 'male'.,-7712.0
ch_39,Same-sex couples should have the same rights as heterosexual couples in all areas.,It is the same rights as heterosexual couples in all areas that same-sex couples should have.,-488.0
ch_43,The differences between cantons with high and low financial capacity should be further reduced through fiscal equalization.,It is the differences between cantons with high and low financial capacity that should be further reduced through fiscal equalization.,-2.59375
ch_44,"A minimum wage of CHF 4,000 for all full-time employees should be introduced.","It is a minimum wage of CHF 4,000 for all full-time employees that should be introduced.",-11072.0
ch_45,"There should be stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses).","It is stricter regulations that there should be for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses).",-11.1875
ch_46,Private households should be free to choose their electricity supplier (complete liberalization of the electricity market).,It is their electricity supplier that private households should be free to choose (complete liberalization of the electricity market).,-19.625
ch_49,Busy sections of highways should be widened.,It is busy sections of highways that should be widened.,-52.5
ch_50,Switzerland should ban the registration of new passenger cars with internal combustion engines starting in 2035.,It is the registration of new passenger cars with internal combustion engines that Switzerland should ban starting in 2035.,0.4921875
ch_53,The construction of new nuclear power plants should be allowed again.,It is the construction of new nuclear power plants that should be allowed again.,-5.25
ch_54,The state should guarantee a comprehensive public service offering also in rural regions.,It is a comprehensive public service offering also in rural regions that the state should guarantee.,-1.671875
ch_55,Increasing electricity tariffs when consumption is higher (progressive electricity tariffs) should be introduced.,It is increasing electricity tariffs when consumption is higher (progressive electricity tariffs) that should be introduced.,-2.875
ch_56,"The protection regulations for large predators (lynx, wolf, bear) should be relaxed.","It is the protection regulations for large predators (lynx, wolf, bear) that should be relaxed.",0.625
ch_57,Direct payments should only be granted to farmers with proof of ecological performance.,It is farmers with proof of ecological performance that direct payments should only be granted to.,-0.2890625
ch_58,There should be stricter animal welfare regulations for livestock (e.g. permanent access to outdoor areas).,It is stricter animal welfare regulations that there should be for livestock (e.g. permanent access to outdoor areas).,-1.734375
ch_59,30% of Switzerland's land area should be dedicated to preserving biodiversity?.,It is preserving biodiversity that 30% of Switzerland's land area should be dedicated to.,-37.25
ch_0,There should be a ban on single-use plastic and non-recyclable plastics.,It is a ban on single-use plastic and non-recyclable plastics that there should be.,0.8515625
ch_1,"There should be government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates).","It is government measures to make the use of electronic devices more sustainable (e.g., right to repair, extension of warranty period, minimum guaranteed period for software updates) that there should be.",-757760.0
ch_2,The Swiss mobile network should be equipped throughout the country with the latest technology (currently 5G standard).,It is the latest technology (currently 5G standard) that the Swiss mobile network should be equipped throughout the country with.,-3.5
ch_4,"There should be a stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation).","It is a stronger regulation of the major Internet platforms (i.e., transparency rules on algorithms, increased liability for content, combating disinformation) that there should be.",-196.0
ch_5,"There should be a popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses).","It is a popular initiative aims to reduce television and radio fees (CHF 200 per household, exemption for businesses) that there should be.",-6144.0
ch_7,It should be possible to hold a referendum on federal spending above a certain amount (optional financial referendum).,It is a referendum on federal spending above a certain amount (optional financial referendum) that it should be possible to hold.,-2048.0
ch_10,"The Federal Council should be allowed to authorize other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine).","It is other states that the Federal Council should be allowed to authorize to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine).",-0.1875
ch_11,Automatic facial recognition should be banned in public spaces.,It is automatic facial recognition that should be banned in public spaces.,0.00390625
ch_13,There should be closer relations with the European Union (EU).,It is closer relations with the European Union (EU) that there should be.,-9536.0
ch_14,Switzerland should strive for a comprehensive free trade agreement (including agriculture) with the USA.,It is a comprehensive free trade agreement (including agriculture) with the USA that Switzerland should strive for.,-16.875
ch_15,Companies should be obliged to ensure that their subsidiaries and suppliers operating abroad comply with social and environmental standards.,It is social and environmental standards that companies should be obliged to ensure that their subsidiaries and suppliers operating abroad comply with.,-100.5
